eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-02-14,-37.40403,144.1001,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-14,-37.40039,144.09971,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-14,-28.237293,153.466863,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-14,-28.237356,153.466058,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-15,-28.15916,153.41449,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-28.14164,153.45129,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-37.45264,144.07216,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-15,-37.45297,144.07224,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-15,-28.15449,153.4412,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.241801,152.993304,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.627955,153.202663,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.53534,153.27058,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.511559,153.250068,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.5388,153.27061,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-15,-27.51153,153.247554,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-37.45255,144.07233,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-16,-37.45254,144.07199,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-16,-28.09112,153.45255,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-27.89212,153.26249,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-27.87213,153.21202,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-27.89212,153.26249,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-28.11978,153.37321,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-16,-28.09894,153.44413,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
